DATES,FOPR,FWIR,FGIR,FWPR
2021-07-30 00:00:00,5894.106907125403,0.0,50000.0,-0.0
2021-08-30 00:00:00,5719.233739577206,0.0,50000.0,-0.0
2021-09-29 00:00:00,5542.360453202502,0.0,50000.0,-0.0
2021-10-30 00:00:00,5376.91766443401,0.0,50000.0,-0.0
2021-11-29 00:00:00,5222.977792650719,0.0,50000.0,-0.0
2021-12-30 00:00:00,5089.162767917041,0.0,50000.0,-0.0
2022-01-30 00:00:00,4979.528656189121,0.0,50000.0,-0.0
2022-02-27 00:00:00,4867.531064167895,0.0,50000.0,-0.0
2022-03-30 00:00:00,4772.013417714087,0.0,50000.0,-0.0
2022-04-29 00:00:00,4680.884922685843,0.0,50000.0,-0.0
2022-05-30 00:00:00,4598.288375622546,0.0,50000.0,-0.0
2022-06-29 00:00:00,4518.040045940974,0.0,50000.0,-0.0
2022-07-30 00:00:00,4441.722903759146,0.0,50000.0,-0.0
2022-08-30 00:00:00,4371.554681960278,0.0,50000.0,-0.0
2022-09-29 00:00:00,4304.05025500739,0.0,50000.0,-0.0
2022-10-30 00:00:00,4242.801760756014,0.0,50000.0,-0.0
2022-11-29 00:00:00,4182.809614273885,0.0,50000.0,-0.0
2022-12-30 00:00:00,4125.878610475431,0.0,50000.0,-0.0
2023-01-30 00:00:00,4076.2935165835256,0.0,50000.0,-0.0
2023-02-27 00:00:00,4024.0392027812272,0.0,50000.0,-0.0
2023-03-30 00:00:00,3976.4208473706562,0.0,50000.0,-0.0
2023-04-29 00:00:00,3931.1052701431745,0.0,50000.0,-0.0
2023-05-30 00:00:00,3887.6741390677994,0.0,50000.0,-0.0
2023-06-29 00:00:00,3843.646657656426,0.0,50000.0,-0.0
2023-07-30 00:00:00,3800.547203748834,0.0,50000.0,-0.0
2023-08-30 00:00:00,3759.6281499634565,0.0,50000.0,-0.0
2023-09-29 00:00:00,3717.944889932034,0.0,50000.0,-0.0
2023-10-30 00:00:00,3678.3425281202394,0.0,50000.0,-0.0
2023-11-29 00:00:00,3638.388168506211,0.0,50000.0,-0.0
2023-12-30 00:00:00,3599.149264426542,0.0,50000.0,-0.0
2024-01-30 00:00:00,3564.1549852461076,0.0,50000.0,-0.0
2024-02-27 00:00:00,3526.0291091730887,0.0,50000.0,-0.0
2024-03-29 00:00:00,3489.84803939382,0.0,50000.0,-0.0
2024-04-28 00:00:00,3453.279600416193,0.0,50000.0,-0.0
2024-05-29 00:00:00,3418.936962608446,0.0,50000.0,-0.0
2024-06-28 00:00:00,3384.7377670813376,0.0,50000.0,-0.0
2024-07-29 00:00:00,3351.530880423078,0.0,50000.0,-0.0
2024-08-29 00:00:00,3320.1791063363835,0.0,50000.0,-0.0
2024-09-28 00:00:00,3288.549192006724,0.0,50000.0,-0.0
2024-10-29 00:00:00,3258.630782076938,0.0,50000.0,-0.0
2024-11-28 00:00:00,3228.4309474427705,0.0,50000.0,-0.0
